Date,BTC,ETH,XRP,LINK,LTC,BCH,ADA
2020/9/30,10764.28437,357.3310058,0.241472277,9.798939654,45.44673507,227.2932926,0.100141063
2020/10/1,10741.57955,358.7399607,0.240130672,9.818929541,46.06110567,227.047624,0.10071654
2020/10/2,10626.60096,352.0332682,0.238235153,9.612130193,46.08013781,225.0738867,0.097421773
2020/10/3,10567.3302,345.3998476,0.23354321,9.206988132,44.87627041,219.1099793,0.093099723
2020/10/4,10555.02868,347.1718313,0.233309375,9.310682851,45.74824371,218.9166818,0.093625861
2020/10/5,10660.61118,351.640032,0.246834744,9.351185539,46.60521129,220.1334365,0.096938429
2020/10/6,10756.40458,352.6185941,0.250996339,9.615912569,46.11566673,220.8137088,0.097073644
2020/10/7,10589.62639,340.348183,0.244612652,8.75512768,45.80509987,218.7488288,0.09231183
2020/10/8,10645.75479,339.3783145,0.247874696,8.847267642,46.46042312,221.7476167,0.093120374
2020/10/9,10897.59543,350.9546298,0.251436157,9.60377074,47.17848806,233.058106,0.095902154
2020/10/10,11052.39508,364.3294015,0.252756779,10.3500933,47.93841909,237.3181412,0.10192308
2020/10/11,11360.85272,374.6844229,0.256588409,10.64518702,49.34283048,239.2539894,0.106897691
2020/10/12,11334.02674,372.7678334,0.254397547,10.70960289,50.50045288,239.5365237,0.105773211
2020/10/13,11666.2117,393.107199,0.257023399,11.60044608,51.30117055,242.2801832,0.110574326
2020/10/14,11443.73279,381.6256169,0.256218305,11.07334119,50.01624894,253.8210184,0.109452911
2020/10/15,11395.54737,376.4695237,0.248558753,10.87213664,49.65702743,255.4697125,0.107565466
2020/10/16,11504.54901,378.2395134,0.245895571,10.76830455,49.46330271,260.8337392,0.106627943
2020/10/17,11355.16044,367.1522803,0.240469691,10.65601469,47.73364955,251.2672199,0.104003565
2020/10/18,11358.70638,368.2368439,0.240632642,10.56464623,46.78311432,244.3069895,0.105871204
2020/10/19,11471.00255,376.5122025,0.241856023,10.87665203,47.53379079,248.7495961,0.107143162
2020/10/20,11776.593,379.6604737,0.247698008,10.92378854,48.17237077,249.2294894,0.109632961
2020/10/21,11936.36291,368.8607246,0.243758761,9.991511267,46.97258084,240.9783512,0.102226839
2020/10/22,13102.93446,398.0277214,0.25397849,11.11579029,54.36726983,263.1320553,0.107618144
2020/10/23,13140.66928,417.6331816,0.263228581,12.18385751,55.13645261,273.4528908,0.112197799
2020/10/24,12933.82357,408.242839,0.254091629,12.00202455,55.35910131,269.2859907,0.10728517
2020/10/25,13081.67256,411.2159945,0.255839409,12.71622905,58.97706817,274.1655707,0.108035804
2020/10/26,13008.45326,405.3954329,0.252510072,12.0629291,58.49909445,270.8010713,0.106209267
2020/10/27,13033.52427,391.4164093,0.248001938,11.82389144,56.66862168,259.3549315,0.102925991
2020/10/28,13721.28222,404.4218332,0.251485393,11.98809227,57.85469766,265.175717,0.102928679
2020/10/29,13282.26035,388.1564436,0.246390304,11.37429152,55.61419037,268.1532149,0.09937959
2020/10/30,13467.73178,386.0911828,0.242416625,11.26774623,54.62302983,267.305668,0.095380955
2020/10/31,13573.7105,383.6848623,0.239370889,11.18141652,54.15584896,261.8280068,0.09402287
2020/11/1,13891.21683,388.4387981,0.240955686,11.23428372,56.04419739,263.2978926,0.093339608
2020/11/2,13730.19731,395.9961822,0.240376965,11.4900148,55.62635508,267.4814766,0.09767357
2020/11/3,13633.69822,384.8347475,0.235406573,10.85470392,54.1248757,258.3454862,0.092737434
2020/11/4,13832.93841,386.4908987,0.238916744,10.40590332,53.76458499,242.9574232,0.093394894
2020/11/5,14163.97682,403.2778486,0.238862276,10.54092448,55.16958141,241.2103084,0.096016438
2020/11/6,15424.52768,416.5114824,0.24587574,11.0736521,59.52878692,251.1519578,0.098056888
2020/11/7,15540.59659,453.0308238,0.257374824,12.12719961,61.67176865,256.5135352,0.10844477
2020/11/8,14783.98168,435.8613368,0.24884829,11.85501271,59.03839589,253.5576811,0.102420538
2020/11/9,15500.33425,454.5517449,0.254072288,12.66428463,60.95534975,270.2681241,0.105953829
2020/11/10,15283.78014,443.6204255,0.250685594,12.49946964,58.84454347,263.7717253,0.105658109
2020/11/11,15374.04439,453.3189965,0.257289964,13.21747187,58.25043725,258.3328555,0.106691502
2020/11/12,15820.49524,466.5282281,0.257290154,13.04212504,59.61596607,258.767108,0.106507472
2020/11/13,16253.31027,462.6719472,0.255217606,12.47117629,59.31400249,259.987781,0.104432256
2020/11/14,16347.04492,477.3388766,0.264780891,12.96360991,65.87561162,260.8174468,0.106286851
2020/11/15,15991.83302,460.4664981,0.268067488,12.46940891,62.99157536,255.543606,0.103611888
2020/11/16,15918.08013,445.8941418,0.267731605,12.04035607,62.00186632,241.3113107,0.10020842
2020/11/17,16752.00299,461.0623568,0.286668954,12.60834385,71.83351289,250.3531673,0.103859575
2020/11/18,17593.48641,480.9909845,0.302031213,13.1049522,76.41285602,255.9801112,0.109055757
